t_history	r_history	delta_ts	ys
0,3,8,22,59,154	4,3,3,3,3,3	3,8,22,59,154,403	1,1,1,1,1,1
0,1,3,6,13,28,1,2,1,3,5,10,1,3,5,9,13,22,35,64,117,1,3,5,9,16,27,49,1,3,6,10,13,15,21,28,38,46	1,3,3,3,3,1,2,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3	1,3,6,13,28,1,2,1,3,5,10,1,3,5,9,13,22,35,64,117,1,3,5,9,16,27,49,1,3,6,10,13,15,21,28,38,46,58	1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,9,23,59,148	4,3,3,3,3,3,3	1,3,9,23,59,148,377	1,1,1,1,1,1,1
0,4,11,23,1,3,7,15,37,1,1,3,5,8,15,33,66,136	4,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3	4,11,23,1,3,7,15,37,1,1,3,5,8,15,33,66,136,344	1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,3,8,17,38,96	1,3,3,3,3,3,3	1,3,8,17,38,96,251	1,1,1,1,1,1,1
0,1,3,5,11,24,59,141	1,3,3,3,3,3,3,3	1,3,5,11,24,59,141,370	1,1,1,1,1,1,1,1
0,3,1,3,6,11,26	4,1,3,3,3,3,3	3,1,3,6,11,26,58	0,1,1,1,1,1,1
0,1,3,5,11,28	4,3,3,3,3,3	1,3,5,11,28,69	1,1,1,1,1,1
0,1,3,5,7,17	1,3,3,2,3,3	1,3,5,7,17,36	1,1,1,1,1,1
0,1,2,3,6,13	1,4,3,3,3,3	1,2,3,6,13,34	1,1,1,1,1,1
0,4,12,31	4,3,3,3	4,12,31,73	1,1,1,1
0,2,3,5,1,3,6,12	3,3,3,1,3,3,3,3	2,3,5,1,3,6,12,31	1,1,0,1,1,1,1,1
0,1,3,10,26	4,4,4,3,3	1,3,10,26,66	1,1,1,1,1
0,3,5,13	4,3,3,3	3,5,13,31	1,1,1,1
0,2,4,8,20	4,3,3,3,3	2,4,8,20,51	1,1,1,1,1
0,5,12	4,3,3	5,12,30	1,1,1
0,4,6,13	4,3,3,3	4,6,13,30	1,1,1,1
0,2,8,8,18	3,4,2,3,3	2,8,8,18,48	1,1,1,1,1
0,4,15	4,4,3	4,15,35	1,1,1
0,2,5,13,28	4,3,3,3,3	2,5,13,28,72	1,1,1,1,1
0,2,3,8,1,3,7,18	1,3,3,1,3,3,3,3	2,3,8,1,3,7,18,39	1,1,0,1,1,1,1,1
0,4,15,40	4,4,3,3	4,15,40,104	1,1,1,1
0,4,11,4,26	4,3,3,3,3	4,11,4,26,67	1,1,1,1,1
0,2,7,19	4,4,3,3	2,7,19,46	1,1,1,1
0,3,6,15	4,3,3,3	3,6,15,37	1,1,1,1
0,2,6,16	4,4,3,3	2,6,16,40	1,1,1,1
0,2,3,9,22	4,3,3,3,3	2,3,9,22,53	1,1,1,1,1
0,5,15	4,4,3	5,15,40	1,1,1
0,3,4,9	4,3,3,4	3,4,9,29	1,1,1,1
0,4,9,26	4,3,4,3	4,9,26,68	1,1,1,1
0,2,7,20	4,4,3,3	2,7,20,53	1,1,1,1
0,3,9,21	4,3,3,3	3,9,21,54	1,1,1,1
0,4,12,31	4,3,3,3	4,12,31,73	1,1,1,1
0,1,3,8,7,19,46	4,3,3,3,3,3,3	1,3,8,7,19,46,110	1,1,1,1,1,1,1
0,2,5,10,24	1,3,3,3,2	2,5,10,24,27	1,1,1,1,1
0,2,4,1,3,5,10,22	4,3,1,3,3,3,3,3	2,4,1,3,5,10,22,52	1,0,1,1,1,1,1,1
0,2,4,9,23	4,3,3,3,3	2,4,9,23,53	1,1,1,1,1
0,2,6,17	4,4,4,3	2,6,17,51	1,1,1,1
0,4,11	4,3,3	4,11,30	1,1,1
0,4,6,13	4,3,3,3	4,6,13,31	1,1,1,1
0,2,8,20	4,4,3,3	2,8,20,57	1,1,1,1
0,4,9,19	4,3,3,3	4,9,19,44	1,1,1,1
0,4,10,24	4,3,3,3	4,10,24,63	1,1,1,1
0,3,1,3,5,10,20	1,1,3,3,3,3,3	3,1,3,5,10,20,44	0,1,1,1,1,1,1
0,4,10,27	4,3,3,3	4,10,27,68	1,1,1,1
0,3,7,18	4,3,3,3	3,7,18,41	1,1,1,1
0,2,6,16	4,3,3,3	2,6,16,36	1,1,1,1
0,1,3,4,7,18,38	1,3,2,3,3,3,2	1,3,4,7,18,38,45	1,1,1,1,1,1,1
0,4,8,20	4,3,3,3	4,8,20,46	1,1,1,1
0,2,3,5,12	4,3,3,3,3	2,3,5,12,29	1,1,1,1,1
0,2,3,9,19	1,3,3,3,3	2,3,9,19,47	1,1,1,1,1
0,4,12,33	4,3,3,2	4,12,33,35	1,1,1,1
0,3,5,1,3,6,13	1,3,1,3,3,3,3	3,5,1,3,6,13,31	1,0,1,1,1,1,1
0,1,1,3,7,18	4,4,3,3,3,3	1,1,3,7,18,43	1,1,1,1,1,1
0,5,11,1,3,5,10	4,3,1,3,3,3,3	5,11,1,3,5,10,26	1,0,1,1,1,1,1
0,4,8,21	4,3,3,3	4,8,21,50	1,1,1,1
0,3,5,11	4,3,3,3	3,5,11,30	1,1,1,1
0,4,9,24	4,3,3,3	4,9,24,64	1,1,1,1
0,3,6,11,27	4,3,3,3,3	3,6,11,27,64	1,1,1,1,1
0,2,6,12,30	4,3,3,3,3	2,6,12,30,77	1,1,1,1,1
0,3,8,9,22,53,1,3,6,12,27	4,3,3,3,3,1,3,3,3,3,3	3,8,9,22,53,1,3,6,12,27,64	1,1,1,1,0,1,1,1,1,1,1
0,3,8,9,22	4,3,3,3,3	3,8,9,22,56	1,1,1,1,1
0,4,13,30	4,4,3,4	4,13,30,99	1,1,1,1
0,4,13,37,40	4,4,3,2,3	4,13,37,40,100	1,1,1,1,1
0,3,5,11,27	4,3,3,3,3	3,5,11,27,64	1,1,1,1,1
0,2,5,13,32	4,3,3,3,3	2,5,13,32,80	1,1,1,1,1
0,4,6,10,22,1,3,5,10,20,39,70,119	4,3,3,3,1,3,3,3,3,3,3,3,3	4,6,10,22,1,3,5,10,20,39,70,119,263	1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,3,5,10,23,45,87	4,4,3,3,3,3,3,3,3	1,1,3,5,10,23,45,87,181	1,1,1,1,1,1,1,1,1
0,1,1,3,1,3,6,9,13,24,37,62,1,3,5,8,12,17,25,36,51,81,112	1,4,3,1,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,2,3,2,3	1,1,3,1,3,6,9,13,24,37,62,1,3,5,8,12,17,25,36,51,81,112,152	1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,4,6,12,22,27,53,65,114	4,3,3,3,2,3,2,3,2	4,6,12,22,27,53,65,114,168	1,1,1,1,1,1,1,1,1
0,1,1,3,5,8,14,28,55,112	4,4,3,3,3,3,3,3,3,3	1,1,3,5,8,14,28,55,112,225	1,1,1,1,1,1,1,1,1,1
0,2,4,6,14,25,52,103	4,3,3,3,3,3,3,4	2,4,6,14,25,52,103,262	1,1,1,1,1,1,1,1
0,3,5,9,16,29,60,120	4,3,3,3,3,3,3,3	3,5,9,16,29,60,120,245	1,1,1,1,1,1,1,1
0,1,1,3,7,12,23,46,96	4,3,3,3,3,3,3,3,3	1,1,3,7,12,23,46,96,195	1,1,1,1,1,1,1,1,1
0,1,3,5,9,18,35,73	4,3,3,3,3,3,3,3	1,3,5,9,18,35,73,150	1,1,1,1,1,1,1,1
0,1,3,5,12,27,57,111	4,3,3,3,3,3,3,3	1,3,5,12,27,57,111,215	1,1,1,1,1,1,1,1
0,3,5,11,19,37,71	4,3,3,3,3,3,3	3,5,11,19,37,71,138	1,1,1,1,1,1,1
0,2,4,10,20,37,76,159,366,1,3,6,9	4,3,3,3,3,3,3,3,1,3,3,3,3	2,4,10,20,37,76,159,366,1,3,6,9,15	1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,3,5,11,25,49,1,3,6,12,1,3,5,1,3,5,7,10,15,20,26,32,1,3,5,7,18,45,69,1,3,5,10,16,18,29,33,43,55	1,3,3,3,3,3,1,3,3,3,1,3,3,1,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3	1,3,5,11,25,49,1,3,6,12,1,3,5,1,3,5,7,10,15,20,26,32,1,3,5,7,18,45,69,1,3,5,10,16,18,29,33,43,55,69	1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,8,17,23,1,3,5,8,12,17,18,24,34,51,74,134	4,3,3,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3	1,3,5,8,17,23,1,3,5,8,12,17,18,24,34,51,74,134,197	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,6,12,21,38,73,149	1,3,3,3,3,3,3,3,3	1,3,6,12,21,38,73,149,350	1,1,1,1,1,1,1,1,1
0,1,3,7,14,29,59,114	3,3,3,3,3,3,3,3	1,3,7,14,29,59,114,237	1,1,1,1,1,1,1,1
0,1,3,4,6,13,22,43,79,143	1,3,2,3,3,3,3,3,3,3	1,3,4,6,13,22,43,79,143,327	1,1,1,1,1,1,1,1,1,1
0,1,3,6,11,22,45,91	4,3,3,3,3,3,3,3	1,3,6,11,22,45,91,176	1,1,1,1,1,1,1,1
0,4,6,13,23,50,102	4,3,3,3,3,3,4	4,6,13,23,50,102,275	1,1,1,1,1,1,1
0,1,3,6,12,21,40,76,150	1,3,3,3,3,3,3,3,3	1,3,6,12,21,40,76,150,378	1,1,1,1,1,1,1,1,1
0,1,3,5,12,23,48,99	4,3,3,3,3,3,3,3	1,3,5,12,23,48,99,201	1,1,1,1,1,1,1,1
0,1,1,3,5,10,19,1,3,5,7,12,17,24,33,46,62,87,160	1,1,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3	1,1,3,5,10,19,1,3,5,7,12,17,24,33,46,62,87,160,221	0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,10,21,40,84,1,3,6,12,18,29,51	1,3,3,3,3,3,3,1,3,3,3,3,3,3,3	1,3,5,10,21,40,84,1,3,6,12,18,29,51,183	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,4,7,18,37,77	4,3,4,3,3,3	4,7,18,37,77,173	1,1,1,1,1,1
0,4,7,12,22,47,95	4,3,3,3,3,3,3	4,7,12,22,47,95,189	1,1,1,1,1,1,1
0,4,7,13,29,56,113	4,3,3,3,3,3,3	4,7,13,29,56,113,218	1,1,1,1,1,1,1
0,1,3,6,11,24,45,93,179	1,3,3,3,3,3,3,3,2	1,3,6,11,24,45,93,179,262	1,1,1,1,1,1,1,1,1
0,1,3,5,12,22,47,95	1,3,3,3,3,3,3,3	1,3,5,12,22,47,95,195	1,1,1,1,1,1,1,1
0,1,3,5,10,19,40,77,152	4,3,3,3,3,3,3,3,3	1,3,5,10,19,40,77,152,368	1,1,1,1,1,1,1,1,1
0,1,3,6,11,25,46,93	4,3,3,3,3,3,3,3	1,3,6,11,25,46,93,195	1,1,1,1,1,1,1,1
0,1,2,4,8,18,45,109	4,2,3,3,3,3,3,3	1,2,4,8,18,45,109,262	1,1,1,1,1,1,1,1
0,2,4,13,28	3,3,3,3,3	2,4,13,28,69	1,1,1,1,1
0,2,5,10,27	1,3,3,3,3	2,5,10,27,67	1,1,1,1,1
0,2,4,8,21	1,3,3,3,3	2,4,8,21,52	1,1,1,1,1
0,1,3,5,11,29	4,3,3,3,3,2	1,3,5,11,29,36	1,1,1,1,1,1
0,4,11,27	4,3,3,3	4,11,27,68	1,1,1,1
0,2,4,6,14	1,3,3,3,3	2,4,6,14,37	1,1,1,1,1
0,1,3,5,14	4,3,3,3,3	1,3,5,14,38	1,1,1,1,1
0,1,3,8,19	1,3,3,3,3	1,3,8,19,47	1,1,1,1,1
0,3,5,13	4,3,3,3	3,5,13,34	1,1,1,1
0,2,4,5,12	1,3,3,3,3	2,4,5,12,33	1,1,1,1,1
0,4,9,23	4,3,3,3	4,9,23,61	1,1,1,1
0,2,6,11,25	1,3,3,3,3	2,6,11,25,66	1,1,1,1,1
0,1,3,8,21	4,3,3,3,3	1,3,8,21,53	1,1,1,1,1
0,4,1,3,5,13,14,15	4,1,3,3,3,2,2,3	4,1,3,5,13,14,15,29	0,1,1,1,1,1,1,1
0,1,5,12	4,3,3,3	1,5,12,33	1,1,1,1
0,1,3,7,18,22	4,3,3,3,2,3	1,3,7,18,22,47	1,1,1,1,1,1
0,2,4,7,19	4,3,3,3,3	2,4,7,19,47	1,1,1,1,1
0,3,5,10,27	4,3,3,3,3	3,5,10,27,69	1,1,1,1,1
0,3,7,21	4,3,4,3	3,7,21,52	1,1,1,1
0,3,8,24	4,4,3,3	3,8,24,63	1,1,1,1
0,4,12,28	4,3,3,3	4,12,28,69	1,1,1,1
0,4,8,22	4,3,3,3	4,8,22,55	1,1,1,1
0,2,3,5,13	1,3,3,3,3	2,3,5,13,30	1,1,1,1,1
0,5,10,24,1,3,5,13	4,3,3,1,3,3,3,3	5,10,24,1,3,5,13,31	1,1,0,1,1,1,1,1
0,2,6,10,25,1,3,6,12,29,1,3,6,11,24,25	1,3,3,3,1,3,3,3,3,1,3,3,3,3,2,3	2,6,10,25,1,3,6,12,29,1,3,6,11,24,25,44	1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
0,2,6,10,25	1,3,3,3,3	2,6,10,25,65	1,1,1,1,1
0,2,4,1,3,5,12,27,32	4,2,1,3,3,3,3,2,3	2,4,1,3,5,12,27,32,62	1,0,1,1,1,1,1,1,1
0,1,3,6,7,17,39	1,3,3,3,3,3,3	1,3,6,7,17,39,101	1,1,1,1,1,1,1
0,1,3,1,3,6,4,15,36	4,3,1,3,3,3,3,3,3	1,3,1,3,6,4,15,36,85	1,0,1,1,1,1,1,1,1
0,2,7,1,3,5,12,32	4,4,1,3,3,3,3,3	2,7,1,3,5,12,32,77	1,0,1,1,1,1,1,1
0,1,3,9,23,24	4,3,3,3,2,3	1,3,9,23,24,52	1,1,1,1,1,1
0,3,7,8,20,48	4,3,3,3,3,3	3,7,8,20,48,124	1,1,1,1,1,1
0,1,3,9,4,22,1,3,5,12,26	4,3,3,3,3,1,3,3,3,3,3	1,3,9,4,22,1,3,5,12,26,60	1,1,1,1,0,1,1,1,1,1,1
0,1,3,5,8,20,1,3,7,14,35	4,3,3,3,3,1,3,3,3,3,3	1,3,5,8,20,1,3,7,14,35,77	1,1,1,1,0,1,1,1,1,1,1
0,3,6,14,31,1,3,6,13	1,3,3,3,1,3,3,3,3	3,6,14,31,1,3,6,13,30	1,1,1,0,1,1,1,1,1
0,1,2,6,10,25	4,2,3,3,3,3	1,2,6,10,25,61	1,1,1,1,1,1
0,1,1,3,7,16	1,1,3,3,3,3	1,1,3,7,16,44	0,1,1,1,1,1
0,1,4,8,18	4,3,3,3,3	1,4,8,18,48	1,1,1,1,1
0,1,4,8,15,1,3,5,10	4,3,3,3,1,3,3,3,3	1,4,8,15,1,3,5,10,25	1,1,1,0,1,1,1,1,1
0,1,1,3,7,19	1,4,3,3,3,3	1,1,3,7,19,45	1,1,1,1,1,1
0,3,6,14	4,3,3,3	3,6,14,35	1,1,1,1
0,1,4,8,21	4,4,3,3,3	1,4,8,21,58	1,1,1,1,1
0,5,10,27	4,3,3,3	5,10,27,63	1,1,1,1
0,3,5,11	4,3,3,3	3,5,11,28	1,1,1,1
0,2,4,14	4,3,4,3	2,4,14,40	1,1,1,1
0,3,8,21	4,3,3,3	3,8,21,48	1,1,1,1
0,2,4,10,26,1,3,6,14	4,3,3,3,1,3,3,3,3	2,4,10,26,1,3,6,14,33	1,1,1,0,1,1,1,1,1
0,1,3,5,14	4,3,3,3,3	1,3,5,14,36	1,1,1,1,1
0,2,6,15,41,1,3,6,11	4,3,3,3,1,3,3,3,3	2,6,15,41,1,3,6,11,25	1,1,1,0,1,1,1,1,1
0,2,4,11,26	4,3,3,3,3	2,4,11,26,61	1,1,1,1,1
0,4,7,16	4,3,3,3	4,7,16,37	1,1,1,1
0,3,7,18	4,4,3,3	3,7,18,44	1,1,1,1
0,2,6,17	4,3,3,3	2,6,17,42	1,1,1,1
0,2,4,11,28	4,3,3,3,3	2,4,11,28,71	1,1,1,1,1
0,2,6,13,30,1,3,5,11	4,3,3,3,1,3,3,3,4	2,6,13,30,1,3,5,11,28	1,1,1,0,1,1,1,1,1
0,4,13	4,3,3	4,13,33	1,1,1
0,1,3,6,15	1,4,3,3,3	1,3,6,15,36	1,1,1,1,1
0,4,9,25	4,3,3,3	4,9,25,59	1,1,1,1
0,4,15	4,4,3	4,15,36	1,1,1
0,2,6,15	4,3,3,4	2,6,15,52	1,1,1,1
0,2,6,11,27	4,3,3,3,3	2,6,11,27,67	1,1,1,1,1
0,2,4,11	4,3,3,3	2,4,11,29	1,1,1,1
0,2,5,13,30	4,3,3,3,2	2,5,13,30,40	1,1,1,1,1
0,1,1,3,5,11,27	4,1,3,3,3,3,3	1,1,3,5,11,27,62	0,1,1,1,1,1,1
0,3,6,17	4,3,3,3	3,6,17,39	1,1,1,1
0,1,3,5,10,25	4,3,3,3,3,3	1,3,5,10,25,65	1,1,1,1,1,1
0,1,1,3,8,19	4,4,3,3,3,3	1,1,3,8,19,51	1,1,1,1,1,1
0,5,10,22	4,3,3,3	5,10,22,52	1,1,1,1
0,2,6,17	4,3,3,3	2,6,17,42	1,1,1,1
0,1,1,3,9,24	4,4,3,3,3,3	1,1,3,9,24,56	1,1,1,1,1,1
0,1,4,10,24	4,4,3,3,3	1,4,10,24,65	1,1,1,1,1
0,1,1,3,5,12	4,4,3,3,3,3	1,1,3,5,12,31	1,1,1,1,1,1
0,1,1,4,5,13	4,4,3,3,3,3	1,1,4,5,13,34	1,1,1,1,1,1
0,4,12	4,3,3	4,12,33	1,1,1
0,4,10,3,26	4,3,3,3,3	4,10,3,26,66	1,1,1,1,1
0,1,1,3,8,4,21,49,124,2	4,4,3,3,3,3,3,3,1,3	1,1,3,8,4,21,49,124,2,3	1,1,1,1,1,1,1,0,1,1
0,1,1,3,6,6,16,38	4,4,3,3,3,3,3,3	1,1,3,6,6,16,38,93	1,1,1,1,1,1,1,1
0,1,1,3,5,7,17,38	4,4,3,3,3,3,3,3	1,1,3,5,7,17,38,93	1,1,1,1,1,1,1,1
0,1,1,3,6,6,17,38	4,4,3,3,3,3,3,3	1,1,3,6,6,17,38,93	1,1,1,1,1,1,1,1
0,1,1,3,6,6,16,42	4,4,3,3,3,3,3,3	1,1,3,6,6,16,42,103	1,1,1,1,1,1,1,1
0,1,3,5,12	1,3,3,3,3	1,3,5,12,29	1,1,1,1,1
0,2,5,11,25	4,3,3,3,3	2,5,11,25,61	1,1,1,1,1
0,1,3,5,12	4,3,3,3,4	1,3,5,12,36	1,1,1,1,1
0,1,3,5,11	4,3,3,3,3	1,3,5,11,29	1,1,1,1,1
0,1,3,6,14	4,3,3,3,3	1,3,6,14,39	1,1,1,1,1
0,3,6,15	4,3,3,3	3,6,15,33	1,1,1,1
0,1,3,6,16	4,3,3,3,3	1,3,6,16,41	1,1,1,1,1
0,1,3,5,12	4,3,3,3,3	1,3,5,12,33	1,1,1,1,1
0,3,6,14,17	4,3,3,2,3	3,6,14,17,43	1,1,1,1,1
0,3,8,20	4,3,3,3	3,8,20,50	1,1,1,1
0,5,12	4,3,3	5,12,33	1,1,1
0,3,9,24	4,3,3,3	3,9,24,58	1,1,1,1
0,1,3,8,1,3,5,10,22	4,3,3,1,3,3,3,3,3	1,3,8,1,3,5,10,22,46	1,1,0,1,1,1,1,1,1
0,1,3,9,19	1,3,3,3,3	1,3,9,19,46	1,1,1,1,1
0,1,3,7,16,41	1,3,3,3,3,2	1,3,7,16,41,46	1,1,1,1,1,1
0,1,3,7,16	4,3,3,3,3	1,3,7,16,38	1,1,1,1,1
0,1,3,8,22	4,3,3,3,3	1,3,8,22,57	1,1,1,1,1
0,1,3,9,25	4,3,3,3,3	1,3,9,25,59	1,1,1,1,1
0,1,1,1,3,5,9,12,18,35,60,104	4,4,1,3,3,3,3,3,3,3,3,3	1,1,1,3,5,9,12,18,35,60,104,195	1,0,1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,9,14,20,43,85	4,4,3,3,3,3,3,3,3,3	1,1,3,5,9,14,20,43,85,171	1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,7,13,22,43,88,2,3,6,10,18,31,107	1,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3	1,1,3,5,7,13,22,43,88,2,3,6,10,18,31,107,188	1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,3,5,8,11,15,32,62	1,4,3,3,3,3,3,3,3,3	1,1,3,5,8,11,15,32,62,129	1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,9,16,28,57,109	4,4,3,3,3,3,3,3,3,3	1,1,3,5,9,16,28,57,109,209	1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,7,9,13,25,47,81	1,1,3,3,3,3,3,3,3,3,3	1,1,3,5,7,9,13,25,47,81,149	0,1,1,1,1,1,1,1,1,1,1
0,1,3,5,9,13,28,54,110	1,3,3,3,3,3,3,3,3	1,3,5,9,13,28,54,110,219	1,1,1,1,1,1,1,1,1
0,1,3,5,7,11,17,33,67	1,3,3,3,3,3,3,3,3	1,3,5,7,11,17,33,67,140	1,1,1,1,1,1,1,1,1
0,1,3,5,7,9,14,24,48,97	4,3,3,3,3,3,3,3,3,3	1,3,5,7,9,14,24,48,97,191	1,1,1,1,1,1,1,1,1,1
0,1,3,5,8,12,18,36,74	1,3,3,3,3,3,3,3,3	1,3,5,8,12,18,36,74,142	1,1,1,1,1,1,1,1,1
0,1,3,5,10,15,21,45,91	1,3,3,3,3,3,3,3,3	1,3,5,10,15,21,45,91,179	1,1,1,1,1,1,1,1,1
0,1,3,5,7,12,18,41,77	1,3,3,3,3,3,3,3,3	1,3,5,7,12,18,41,77,158	1,1,1,1,1,1,1,1,1
0,1,3,5,7,12,20,44,92,180	1,3,3,3,3,3,3,3,3,3	1,3,5,7,12,20,44,92,180,347	1,1,1,1,1,1,1,1,1,1
0,1,3,5,10,16,24,47,97	1,3,3,3,3,3,3,3,3	1,3,5,10,16,24,47,97,194	1,1,1,1,1,1,1,1,1
0,1,3,5,9,15,27,56,115	4,3,3,3,3,3,3,3,3	1,3,5,9,15,27,56,115,228	1,1,1,1,1,1,1,1,1
0,1,3,5,7,10,14,30,61	1,3,3,3,3,3,3,3,3	1,3,5,7,10,14,30,61,124	1,1,1,1,1,1,1,1,1
0,1,3,5,10,17,35,69	1,3,3,3,3,3,3,3	1,3,5,10,17,35,69,135	1,1,1,1,1,1,1,1
0,1,3,5,9,15,23,44,89	4,3,3,3,3,3,3,3,3	1,3,5,9,15,23,44,89,185	1,1,1,1,1,1,1,1,1
0,1,3,5,8,11,18,40,81,164	4,3,3,3,3,3,3,3,3,2	1,3,5,8,11,18,40,81,164,234	1,1,1,1,1,1,1,1,1,1
0,1,3,5,8,10,18,37,78	4,3,3,3,3,3,3,3,3	1,3,5,8,10,18,37,78,150	1,1,1,1,1,1,1,1,1
0,1,3,5,7,9,14,29,61	4,3,3,3,3,3,3,3,3	1,3,5,7,9,14,29,61,127	1,1,1,1,1,1,1,1,1
0,1,3,5,10,18,32,61,116	4,3,3,3,3,3,3,3,3	1,3,5,10,18,32,61,116,229	1,1,1,1,1,1,1,1,1
0,1,3,5,7,11,19,42,88,182	4,3,3,3,3,3,3,3,3,3	1,3,5,7,11,19,42,88,182,355	1,1,1,1,1,1,1,1,1,1
0,1,3,5,9,16,26,53,104	4,3,3,3,3,3,3,3,3	1,3,5,9,16,26,53,104,202	1,1,1,1,1,1,1,1,1
0,1,3,5,7,10,16,29,60,115	4,3,3,3,3,3,3,3,3,3	1,3,5,7,10,16,29,60,115,238	1,1,1,1,1,1,1,1,1,1
0,1,3,5,10,18,32,65,131	1,3,3,3,3,3,3,3,2	1,3,5,10,18,32,65,131,176	1,1,1,1,1,1,1,1,1
0,1,3,5,8,11,17,32,61	4,3,3,3,3,3,3,3,3	1,3,5,8,11,17,32,61,123	1,1,1,1,1,1,1,1,1
0,1,3,5,10,15,33,70	4,3,3,3,3,3,3,3	1,3,5,10,15,33,70,145	1,1,1,1,1,1,1,1
0,1,3,5,9,15,26,53,104	4,3,3,3,3,3,3,3,3	1,3,5,9,15,26,53,104,209	1,1,1,1,1,1,1,1,1
0,1,3,5,8,10,19,35,74	4,3,3,3,3,3,3,3,3	1,3,5,8,10,19,35,74,148	1,1,1,1,1,1,1,1,1
0,1,3,5,9,16,32,66	4,3,3,3,3,3,3,3	1,3,5,9,16,32,66,138	1,1,1,1,1,1,1,1
0,1,3,5,10,18,37,71	4,3,3,3,3,3,3,3	1,3,5,10,18,37,71,142	1,1,1,1,1,1,1,1
0,1,3,5,10,14,31,62	4,3,3,3,3,3,3,3	1,3,5,10,14,31,62,121	1,1,1,1,1,1,1,1
0,1,3,5,7,10,21,38,74	4,3,3,3,3,3,3,3,3	1,3,5,7,10,21,38,74,154	1,1,1,1,1,1,1,1,1
0,1,3,5,9,16,28,54,113,222	4,3,3,3,3,3,3,3,3,2	1,3,5,9,16,28,54,113,222,259	1,1,1,1,1,1,1,1,1,1
0,1,3,5,9,12,20,36,69	4,3,3,3,3,3,3,3,3	1,3,5,9,12,20,36,69,143	1,1,1,1,1,1,1,1,1
0,1,3,5,8,10,18,39,82,171	4,3,3,3,3,3,3,3,3,2	1,3,5,8,10,18,39,82,171,233	1,1,1,1,1,1,1,1,1,1
0,1,3,5,8,13,22,44,92	4,3,3,3,3,3,3,3,3	1,3,5,8,13,22,44,92,184	1,1,1,1,1,1,1,1,1
0,1,3,5,8,12,21,38,79,158	4,3,3,3,3,3,3,3,3,2	1,3,5,8,12,21,38,79,158,227	1,1,1,1,1,1,1,1,1,1
0,1,3,5,7,13,16,28,51,91,169	4,3,3,3,3,2,3,3,3,3,3	1,3,5,7,13,16,28,51,91,169,305	1,1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,7,9,16,30,64	4,4,3,3,3,3,3,3,3,3	1,1,3,5,7,9,16,30,64,133	1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,9,15,30,54,110,1,1,3,5,11,38,140	4,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3	1,1,3,5,9,15,30,54,110,1,1,3,5,11,38,140,251	1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,3,5,7,10,17,33,65	4,4,3,3,3,3,3,3,3,3	1,1,3,5,7,10,17,33,65,128	1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,8,12,19,36,75,151	4,1,3,3,3,3,3,3,3,3,2	1,1,3,5,8,12,19,36,75,151,212	0,1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,7,13,17,31,62	4,4,3,3,3,3,3,3,3,3	1,1,3,5,7,13,17,31,62,122	1,1,1,1,1,1,1,1,1,1
0,1,3,5,9,15,27,57,116	4,3,3,3,3,3,3,3,3	1,3,5,9,15,27,57,116,224	1,1,1,1,1,1,1,1,1
0,1,3,5,7,11,17,37,76	4,3,3,3,3,3,3,3,3	1,3,5,7,11,17,37,76,145	1,1,1,1,1,1,1,1,1
0,1,3,5,7,12,18,40,83	4,3,3,3,3,3,3,3,3	1,3,5,7,12,18,40,83,162	1,1,1,1,1,1,1,1,1
0,4,11,29	4,4,3,4	4,11,29,102	1,1,1,1
