t_history	r_history	delta_ts	ys
0,1,3,7,15,37,83	3,3,3,3,3,3,3	1,3,7,15,37,83,187	1,1,1,1,1,1,1
0,1,3,6,11,14,28,61	3,3,3,3,3,3,3,3	1,3,6,11,14,28,61,138	1,1,1,1,1,1,1,1
0,1,4,5,11,22,47	3,3,3,3,3,3,3	1,4,5,11,22,47,105	1,1,1,1,1,1,1
0,1,3,5,10,1,3,6,12,24,52,1,3,6,13,27,51	3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3	1,3,5,10,1,3,6,12,24,52,1,3,6,13,27,51,95	1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,9,16,32,71	3,3,3,3,3,3,3,4	1,3,5,9,16,32,71,208	1,1,1,1,1,1,1,1
0,1,3,5,9,16,32,73	3,3,3,3,3,3,3,3	1,3,5,9,16,32,73,158	1,1,1,1,1,1,1,1
0,1,3,7,14,10,34,75	3,3,3,3,3,3,3,3	1,3,7,14,10,34,75,166	1,1,1,1,1,1,1,1
0,1,3,7,17,40	3,3,3,3,3,3	1,3,7,17,40,94	1,1,1,1,1,1
0,1,3,7,13,9,30,63	3,3,3,3,3,3,3,3	1,3,7,13,9,30,63,145	1,1,1,1,1,1,1,1
0,1,3,5,10,15,30,63,1,4,7,12,23,45	1,3,3,3,3,3,3,1,3,3,3,3,3,3	1,3,5,10,15,30,63,1,4,7,12,23,45,91	1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,11,13,27,79	3,3,3,3,3,3,4,3	1,3,5,11,13,27,79,184	1,1,1,1,1,1,1,1
0,1,3,7,16,8,20,1,3,5,7,12,21,37,67	3,3,3,3,2,3,1,3,3,3,3,3,3,3,3	1,3,7,16,8,20,1,3,5,7,12,21,37,67,120	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,3,4,10,17,34,67,2,3,5,9,16,33	4,2,3,3,3,3,1,3,3,3,3,3,3	3,4,10,17,34,67,2,3,5,9,16,33,64	1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,10,11,4,1,1,3,1,3,5,1,3,5,8,12,18,24,28,39,51	1,3,3,3,2,2,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3	1,3,5,10,11,4,1,1,3,1,3,5,1,3,5,8,12,18,24,28,39,51,64	1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,1,2,4,6,10,8,21,22,44,73,2,4,7,9,11,14,20,29	3,3,1,2,3,3,3,3,3,2,3,3,1,3,3,2,3,3,3,3,3	1,3,1,2,4,6,10,8,21,22,44,73,2,4,7,9,11,14,20,29,40	1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,3,6,14,10,1,3,6,13,26,45,3,5,6,10,1,3,5,8,10,13,17,24,28,37	1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3	1,1,3,6,14,10,1,3,6,13,26,45,3,5,6,10,1,3,5,8,10,13,17,24,28,37,52	0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,4,8,17,6,37,85	4,3,3,3,3,3,3	4,8,17,6,37,85,190	1,1,1,1,1,1,1
0,1,3,7,13,11,32,76	3,3,3,3,3,3,3,4	1,3,7,13,11,32,76,221	1,1,1,1,1,1,1,1
0,1,3,7,16,8,40,87	3,3,3,3,3,3,3,3	1,3,7,16,8,40,87,187	1,1,1,1,1,1,1,1
0,1,3,6,13,36,86,1,3,7,15,32	1,3,3,3,3,3,1,3,3,3,3,3	1,3,6,13,36,86,1,3,7,15,32,71	1,1,1,1,1,0,1,1,1,1,1,1
0,1,3,9,1,3,5,1,2,4,6,12,13,24,44,76	3,3,3,1,3,3,1,2,3,3,3,2,3,3,3,3	1,3,9,1,3,5,1,2,4,6,12,13,24,44,76,141	1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
0,3,5,1,3,7,15,34,1,3,5,10,24,46	4,3,1,3,3,3,3,1,3,3,3,3,3,3	3,5,1,3,7,15,34,1,3,5,10,24,46,97	1,0,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,14,35,87	1,3,3,3,3,3,3	1,3,5,14,35,87,212	1,1,1,1,1,1,1
0,1,1,1,3,6,13,31,68	3,1,1,3,3,3,3,3,3	1,1,1,3,6,13,31,68,149	0,0,1,1,1,1,1,1,1
0,1,3,6,16,42	3,3,3,3,3,3	1,3,6,16,42,105	1,1,1,1,1,1
0,1,3,6,13,31,78	3,3,3,3,3,3,3	1,3,6,13,31,78,199	1,1,1,1,1,1,1
0,5,13,35	4,3,3,3	5,13,35,88	1,1,1,1
0,5,14,1,3,6,13,27,65,1,4,5,11,25,53	4,3,1,3,3,3,3,3,1,3,3,3,3,3,3	5,14,1,3,6,13,27,65,1,4,5,11,25,53,110	1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,8,22,53	3,3,3,3,3,4	1,3,8,22,53,170	1,1,1,1,1,1
0,1,3,9,25,65	3,3,3,3,3,3	1,3,9,25,65,152	1,1,1,1,1,1
0,1,3,6,16,18,39	3,3,3,3,2,3,3	1,3,6,16,18,39,93	1,1,1,1,1,1,1
0,1,3,6,16,44	3,3,3,3,3,3	1,3,6,16,44,113	1,1,1,1,1,1
0,1,3,7,18,46	3,3,3,3,3,3	1,3,7,18,46,111	1,1,1,1,1,1
0,1,3,4,10,12,25,59	1,3,2,3,2,3,3,3	1,3,4,10,12,25,59,133	1,1,1,1,1,1,1,1
0,1,3,9,25,66,4,6,10,24,60	3,3,3,3,3,1,3,3,3,3,3	1,3,9,25,66,4,6,10,24,60,134	1,1,1,1,0,1,1,1,1,1,1
0,1,3,6,15,35	2,3,3,3,3,3	1,3,6,15,35,90	1,1,1,1,1,1
0,1,3,7,18,41	3,3,3,3,3,3	1,3,7,18,41,103	1,1,1,1,1,1
0,1,3,9,20,48	3,3,3,3,3,3	1,3,9,20,48,117	1,1,1,1,1,1
0,1,4,8,21,55	3,3,3,3,3,3	1,4,8,21,55,137	1,1,1,1,1,1
0,1,2,5,9,20,48	3,2,3,3,3,3,3	1,2,5,9,20,48,113	1,1,1,1,1,1,1
0,2,3,7,16,20,53,65	3,3,3,3,2,3,2,3	2,3,7,16,20,53,65,138	1,1,1,1,1,1,1,1
0,1,3,7,18,42	2,3,3,3,3,3	1,3,7,18,42,103	1,1,1,1,1,1
0,1,3,7,15,37	1,3,3,3,3,3	1,3,7,15,37,94	1,1,1,1,1,1
0,1,3,8,17,40	3,3,3,3,3,3	1,3,8,17,40,102	1,1,1,1,1,1
0,1,3,4,1,3,5,8,18,1,3,5,9,17,35,65	1,3,2,1,3,3,3,3,1,3,3,3,3,3,3,3	1,3,4,1,3,5,8,18,1,3,5,9,17,35,65,131	1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,3,9,21,56	3,3,3,3,3,3	1,3,9,21,56,135	1,1,1,1,1,1
0,1,4,5,13,31,78	3,3,3,3,3,3,3	1,4,5,13,31,78,201	1,1,1,1,1,1,1
0,1,1,3,6,13,31,80	3,3,3,3,3,3,3,3	1,1,3,6,13,31,80,188	1,1,1,1,1,1,1,1
0,2,3,6,10,26,69,83,3,5,9,22	3,3,3,3,3,3,2,1,3,3,3,3	2,3,6,10,26,69,83,3,5,9,22,43	1,1,1,1,1,1,0,1,1,1,1,1
0,1,4,8,22,53	3,3,3,3,3,3	1,4,8,22,53,128	1,1,1,1,1,1
0,1,1,3,5,14,32,78	3,3,3,3,3,3,3,3	1,1,3,5,14,32,78,183	1,1,1,1,1,1,1,1
0,1,2,4,7,8,17,41	3,2,3,3,2,3,3,3	1,2,4,7,8,17,41,94	1,1,1,1,1,1,1,1
0,1,4,7,18,46	3,3,3,3,3,3	1,4,7,18,46,121	1,1,1,1,1,1
0,1,1,3,6,14,37	3,3,3,3,3,3,3	1,1,3,6,14,37,92	1,1,1,1,1,1,1
